"","ELI.E"
"1885-01-01",163.5
"1885-02-01",162.338164251208
"1885-03-01",159.798941798942
"1885-04-01",156.342245989305
"1885-05-01",162.911764705882
"1885-06-01",174.114503816794
"1885-07-01",170.817813765182
"1885-08-01",173.165991902834
"1885-09-01",174.568
"1885-10-01",173.187739463602
"1885-11-01",169.545816733068
"1885-12-01",166.376569037657
"1886-01-01",162.205607476636
"1886-02-01",160.248648648649
"1886-03-01",158.951807228916
"1886-04-01",153.659090909091
"1886-05-01",152.713450292398
"1886-06-01",153.977142857143
"1886-07-01",159.646464646465
"1886-08-01",162.179245283019
"1886-09-01",161.892156862745
"1886-10-01",156.20652173913
"1886-11-01",154.48
"1886-12-01",153.614906832298
"1887-01-01",153.683544303797
"1887-02-01",152.627450980392
"1887-03-01",149.882352941176
"1887-04-01",152.611111111111
"1887-05-01",149.78231292517
"1887-06-01",163.128712871287
"1887-07-01",170.452380952381
"1887-08-01",167.933333333333
"1887-09-01",164.754385964912
"1887-10-01",161.953703703704
"1887-11-01",161.953917050691
"1887-12-01",159.903381642512
"1888-01-01",160.134615384615
"1888-02-01",161.754716981132
"1888-03-01",163.557692307692
"1888-04-01",164.689655172414
"1888-05-01",168.964912280702
"1888-06-01",180.913494809689
"1888-07-01",178.996363636364
"1888-08-01",178.738007380074
"1888-09-01",177.287356321839
"1888-10-01",171.630769230769
"1888-11-01",171.812030075188
"1888-12-01",175.839694656489
"1889-01-01",177.20701754386
"1889-02-01",177.598484848485
"1889-03-01",175.044247787611
"1889-04-01",169.555555555556
"1889-05-01",166.805309734513
"1889-06-01",166.138888888889
"1889-07-01",161.766990291262
"1889-08-01",165.714285714286
"1889-09-01",163.97247706422
"1889-10-01",159.28125
"1889-11-01",154.662921348315
"1889-12-01",152.224852071006
"1890-01-01",151.80487804878
"1890-02-01",152.950617283951
"1890-03-01",151.477124183007
"1890-04-01",148.335570469799
"1890-05-01",157.243523316062
"1890-06-01",163.654545454545
"1890-07-01",164.517543859649
"1890-08-01",165.676595744681
"1890-09-01",162.778280542986
"1890-10-01",162.065727699531
"1890-11-01",159.509803921569
"1890-12-01",162.046082949309
"1891-01-01",162.304147465438
"1891-02-01",162.22
"1891-03-01",165.698324022346
"1891-04-01",167.048128342246
"1891-05-01",174.296875
"1891-06-01",177.837455830389
"1891-07-01",176.836501901141
"1891-08-01",174.599221789883
"1891-09-01",168.197530864198
"1891-10-01",164.166666666667
"1891-11-01",163.657657657658
"1891-12-01",161.111111111111
"1892-01-01",156.172043010753
"1892-02-01",155.653179190751
"1892-03-01",152.634146341463
"1892-04-01",159.681318681319
"1892-05-01",159.664974619289
"1892-06-01",165.648068669528
"1892-07-01",167.452991452991
"1892-08-01",165.526315789474
"1892-09-01",163.25
"1892-10-01",159.251282051282
"1892-11-01",157.141361256545
"1892-12-01",156.063829787234
"1893-01-01",155.125683060109
"1893-02-01",154.625
"1893-03-01",151.104294478528
"1893-04-01",151.551515151515
"1893-05-01",156.452631578947
"1893-06-01",161.037735849057
"1893-07-01",160.634615384615
"1893-08-01",161.159420289855
"1893-09-01",162.22966507177
"1893-10-01",159.782383419689
"1893-11-01",157.842105263158
"1893-12-01",155.882352941176
"1894-01-01",154.707182320442
"1894-02-01",154.310344827586
"1894-03-01",152.775757575758
"1894-04-01",150.012738853503
"1894-05-01",155.804347826087
"1894-06-01",160.904761904762
"1894-07-01",163.52380952381
"1894-08-01",165.743362831858
"1894-09-01",160.88995215311
"1894-10-01",158.54
"1894-11-01",158.060913705584
"1894-12-01",157.969543147208
"1895-01-01",160.365482233503
"1895-02-01",171.43137254902
"1895-03-01",153.976331360947
"1895-04-01",153.503105590062
"1895-05-01",168.508333333333
"1895-06-01",174.120754716981
